timestamp,provider,inputToken,outputToken,inputAmount,expectedOutputAmount,feeUsd,feePercent
2026-01-22T00:06:02.237Z,Rift,BTC,CBBTC,0.001,99744,0.2288,22879.0523
2026-01-22T00:06:04.576Z,Rift,BTC,USDC,0.001,89281486,0.2288,22879.0523
2026-01-22T00:06:06.132Z,Rift,BTC,CBBTC,0.001,99744,0.2288,22879.0523
2026-01-22T00:06:07.972Z,Rift,BTC,USDC,0.001,89275495,0.2288,22879.0523
2026-01-22T00:06:20.872Z,Rift,BTC,CBBTC,0.001,99729,0.2422,24219.6218
2026-01-22T00:06:22.471Z,Rift,BTC,USDC,0.001,89244783,0.2422,24219.6218
2026-01-22T00:12:56.495Z,Rift,BTC,CBBTC,0.001,99765,0.2105,21050.4992
2026-01-22T00:12:58.758Z,Rift,BTC,USDC,0.001,89335644,0.2105,21050.4992
2026-01-22T00:13:10.138Z,Rift,BTC,CBBTC,0.001,99741,0.2320,23200.3375
2026-01-22T00:13:12.522Z,Rift,BTC,USDC,0.001,89339861,0.2320,23200.3375
2026-01-22T00:23:20.971Z,Rift,BTC,CBBTC,0.001,99771,0.2053,20527.6169
2026-01-22T00:23:23.074Z,Rift,BTC,USDC,0.001,89396933,0.2053,20527.6169
2026-01-22T00:23:46.210Z,Rift,CBBTC,BTC,0.001,99550,0.4034,40338.1118
2026-01-22T00:23:48.118Z,Rift,USDC,BTC,100,110256,0.4132,0.4132
2026-01-22T00:23:50.305Z,Rift,ETH,BTC,0.03,99064,0.4034,1344.6037
